city;;name;lon;lat
Jakarta; Indonesia;Shell Kemayoran-1 CENTRAL JKT;10.683.554.276.724.400;-6.146.380.702.352.690
Jakarta; Indonesia;Shell GN. Sahari-1 CENTRAL JKT;10.683.816.197.478.100;-6.160.688.947.664.850
Jakarta; Indonesia;Shell Menteng-1 CENTRAL JKT;10.683.604.136.990.200;-6.185.225.146.962.660
Jakarta; Indonesia;Shell RP Soeroso-1 CENTRAL JKT;10.683.633.772.493.800;-6.190.692.742.142.120
Jakarta; Indonesia;Shell Satrio-1 SOUTH JKT;10.682.049.912.942.400;-6.219.970.124.635.850
Jakarta; Indonesia;Shell Lapangan Ros-1 SOUTH JAKARTA;10.685.266.180.805.300;-6.224.855.600.246.870
Jakarta; Indonesia;Shell MT Haryono-1 EAST JKT;10.686.445.500.000.000;-6.243.854.600.000.000
Jakarta; Indonesia;Shell MT Haryono-2 SOUTH JKT;1.068.555.468.012.550;-6.242.537.271.101.580
Jakarta; Indonesia;Shell Pasar Minggu-1 SOUTH JKT;10.684.296.939.568.000;-62.642.958.528.689.000
Jakarta; Indonesia;Shell Kemang Raya-1 SOUTH JKT;10.681.581.735;-6.260.835.900.000.000
Jakarta; Indonesia;Shell Antasari-2 SOUTH JKT;10.680.816.192.549.300;-62.654.835.582.682.100
Jakarta; Indonesia;Shell Fatmawati-2 SOUTH JKT;10.679.740.748.660.200;-627.368.861.964.886
Jakarta; Indonesia;Shell Warung JT BRT-1 SOUTH JKT;10.682.651.782.775.400;-6.283.785.119.165.820
Jakarta; Indonesia;Shell TJ Barat-SOUTH JAKARTA NTS DO;10.684.036.249.999.900;-6.303.935.400.000.000
Jakarta; Indonesia;Shell Ciputat Raya-1 SOUTH JKT;10.677.163.260.000.000;-6.286.042.599.999.990
Jakarta; Indonesia;Shell Veteran-1 SOUTH JKT;106.765.871.347.933;-6.265.481.402.550.810
Jakarta; Indonesia;Shell Arteri PI-1 SOUTH JKT;10.678.139.306.871.300;-6.259.478.320.845.310
Jakarta; Indonesia;Shell Radio Dalam-1 SOUTH JKT;10.678.927.898.221.700;-6.260.280.033.816.150
Jakarta; Indonesia;Shell Ciputat Raya-2 SOUTH JKT;10.677.856.477.731.000;-6.250.828.202.795.400
Jakarta; Indonesia;Shell Pos Pengumben-2 WEST JKT;1.067.406.140.766.220;-6.220.643.823.105.090
Jakarta; Indonesia;Shell Pos Pengumben-1 WEST JKT;10.676.661.614.296.700;-6.216.438.730.229.830
Jakarta; Indonesia;Shell Petukangan-1 SOUTH JAKARTA;1.067.598.352.030.010;-6.237.767.129.095.060
Jakarta; Indonesia;Shell Tentara Pelajar-1 SOUTH JKT;10.679.451.602.723.900;-6.214.601.353.968.350
Jakarta; Indonesia;Shell Gatot Subroto-1 SOUTH JKT;1.068.371.614.898.720;-6.240.808.083.818.790
Jakarta; Indonesia;Shell Mampang-1 SOUTH JKT;1.068.264.719.662.280;-624.644.249.702.844
Jakarta; Indonesia;Shell Tendean-1 SOUTH JKT;10.681.943.056.014.200;-6.239.612.491.379.240
Jakarta; Indonesia;Shel Hasyimashari-1 CENTRAL JKT;10.681.259.082.655.400;-6.165.115.263.724.290
Jakarta; Indonesia;Shell Kyai Tapa-1 WEST JKT;10.679.652.361.274.500;-6.166.828.950.592.710
Jakarta; Indonesia;Shell Latumenten-2 WEST JKT;10.679.068.569.808.900;-6.159.413.764.357.890
Jakarta; Indonesia;Shell Kemanggisan-1 WEST JKT;10.679.261.984.496.800;-6.189.551.976.205.240
Jakarta; Indonesia;Shell S Parman-1 WEST JKT;10.679.761.558.456.000;-61.986.625.015.231.600
Jakarta; Indonesia;SPBU Pertamina COCO 31.131.01;10.686.405.645.585.600;-619.334.841.727.736
Jakarta; Indonesia;SPBU Pertamina COCO 31.133.01;10.686.768.469.999.900;-6.231.180.900.000.000
