No,Nama Akun,Link Post,Tipe Post,Tanggal,Durasi,View,Like,Comment,Saved,Share,Kategori,Tipe Konten,Sub Tipe Konten,Jumlah Foto
149,perpustakaan_pnb,https://www.tiktok.com/@perpustakaan_pnb/video/7368833567134059782?is_from_webapp=1&sender_device=pc,Video,14-May-2024,0:00:39,9640,194,5,6,27,Ruang,Relational,Suasana Perpustakaan,
152,perpustakaan_pnb,https://www.tiktok.com/@perpustakaan_pnb/photo/7370685850562104581?is_from_webapp=1&sender_device=pc,Foto,19-May-2024,0:00:00,5994,149,2,6,19,Ruang,Relational,Suasana Perpustakaan,17
155,perpustakaan_pnb,https://www.tiktok.com/@perpustakaan_pnb/video/7374019366712560902?is_from_webapp=1&sender_device=pc,Video,28-May-2024,0:00:29,31000,769,42,24,169,Ruang,Relational,Suasana Perpustakaan,
157,perpustakaan_pnb,https://www.tiktok.com/@perpustakaan_pnb/photo/7376261818529910021?is_from_webapp=1&sender_device=pc,Foto,3-Jun-2024,0:00:00,12600,371,7,11,39,Ruang,Relational,Suasana Perpustakaan,12
158,perpustakaan_pnb,https://www.tiktok.com/@perpustakaan_pnb/video/7376626767836073221?is_from_webapp=1&sender_device=pc,Video,4-Jun-2024,0:00:24,33300,816,43,31,119,Ruang,Relational,Suasana Perpustakaan,
163,perpustakaan_pnb,https://www.tiktok.com/@perpustakaan_pnb/photo/7380711193381506309?is_from_webapp=1&sender_device=pc,Foto,15-Jun-2024,0:00:00,43500,1462,26,47,235,Ruang,Relational,Suasana Perpustakaan,25
165,perpustakaan_pnb,https://www.tiktok.com/@perpustakaan_pnb/video/7384409181572418821?is_from_webapp=1&sender_device=pc,Video,25-Jun-2024,0:00:23,6200,102,6,2,4,Ruang,Relational,Suasana Perpustakaan,
170,perpustakaan_pnb,https://www.tiktok.com/@perpustakaan_pnb/video/7390356364490542341?is_from_webapp=1&sender_device=pc,Video,11-Jul-2024,0:00:26,5235,75,0,4,14,Ruang,Relational,Suasana Perpustakaan,
172,perpustakaan_pnb,https://www.tiktok.com/@perpustakaan_pnb/photo/7392571751831457029?is_from_webapp=1&sender_device=pc,Foto,17-Jul-2024,0:00:00,7921,188,0,2,19,Ruang,Relational,Suasana Perpustakaan,7
178,perpustakaan_pnb,https://www.tiktok.com/@perpustakaan_pnb/photo/7407415228775943429?is_from_webapp=1&sender_device=pc,Foto,26-Aug-2024,0:00:00,3616,116,0,0,3,Ruang,Relational,Suasana Perpustakaan,6
180,perpustakaan_pnb,https://www.tiktok.com/@perpustakaan_pnb/video/7412603034250824966?is_from_webapp=1&sender_device=pc,Video,9-Sep-2024,0:00:32,5932,151,2,1,22,Ruang,Entertaining,Suasana Perpustakaan,
181,perpustakaan_pnb,https://www.tiktok.com/@perpustakaan_pnb/photo/7414086352188345606?is_from_webapp=1&sender_device=pc,Foto,13-Sep-2024,0:00:00,5380,156,0,2,13,Ruang,Relational,Suasana Perpustakaan,9
182,perpustakaan_pnb,https://www.tiktok.com/@perpustakaan_pnb/video/7415577139371592965?is_from_webapp=1&sender_device=pc,Video,17-Sep-2024,0:00:35,6751,178,0,0,27,Ruang,Entertaining,Suasana Perpustakaan,
183,perpustakaan_pnb,https://www.tiktok.com/@perpustakaan_pnb/photo/7415939097665080582?is_from_webapp=1&sender_device=pc,Foto,18-Sep-2024,0:00:00,16200,501,9,8,57,Ruang,Relational,Suasana Perpustakaan,9
185,perpustakaan_pnb,https://www.tiktok.com/@perpustakaan_pnb/video/7420764287922162950?is_from_webapp=1&sender_device=pc,Video,1-Oct-2024,0:00:36,13400,419,2,10,80,Ruang,Entertaining,Suasana Perpustakaan,
186,perpustakaan_pnb,https://www.tiktok.com/@perpustakaan_pnb/video/7426341550784826630?is_from_webapp=1&sender_device=pc,Video,16-Oct-2024,0:00:43,6908,214,0,4,62,Ruang,Entertaining,Suasana Perpustakaan,
187,perpustakaan_pnb,https://www.tiktok.com/@perpustakaan_pnb/video/7426716794934627589?is_from_webapp=1&sender_device=pc,Video,17-Oct-2024,0:00:34,4593,108,2,0,20,Ruang,Entertaining,Suasana Perpustakaan,
190,perpustakaan_pnb,https://www.tiktok.com/@perpustakaan_pnb/video/7433396571061914897?is_from_webapp=1&sender_device=pc,Video,4-Nov-2024,0:00:33,5117,198,0,2,26,Ruang,Entertaining,Suasana Perpustakaan,
191,perpustakaan_pnb,https://www.tiktok.com/@perpustakaan_pnb/photo/7434517288914554129?is_from_webapp=1&sender_device=pc,Foto,7-Nov-2024,0:00:00,8271,201,30,3,43,Ruang,Relational,Suasana Perpustakaan,15
194,perpustakaan_pnb,https://www.tiktok.com/@perpustakaan_pnb/video/7436007455592615185?is_from_webapp=1&sender_device=pc,Video,11-Nov-2024,0:00:35,2770,100,4,2,20,Ruang,Entertaining,Suasana Perpustakaan,
195,perpustakaan_pnb,https://www.tiktok.com/@perpustakaan_pnb/photo/7436373167356038401?is_from_webapp=1&sender_device=pc,Foto,12-Nov-2024,0:00:00,8225,296,11,14,64,Ruang,Relational,Suasana Perpustakaan,10
199,perpustakaan_pnb,https://www.tiktok.com/@perpustakaan_pnb/photo/7443786875543801109?is_from_webapp=1&sender_device=pc,Foto,2-Dec-2024,0:00:00,6125,159,3,4,23,Ruang,Relational,Suasana Perpustakaan,11
200,perpustakaan_pnb,https://www.tiktok.com/@perpustakaan_pnb/photo/7444382958531792144?is_from_webapp=1&sender_device=pc,Foto,4-Dec-2024,0:00:00,15900,473,7,10,41,Ruang,Entertaining,Suasana Perpustakaan,4
202,perpustakaan_pnb,https://www.tiktok.com/@perpustakaan_pnb/video/7447125084600274177?is_from_webapp=1&sender_device=pc,Video,11-Dec-2024,0:00:44,3135,104,6,4,33,Ruang,Relational,Suasana Perpustakaan,
207,perpustakaan_pnb,https://www.tiktok.com/@perpustakaan_pnb/photo/7367714766883687686?is_from_webapp=1&sender_device=pc,Foto,11-May-2024,0:00:00,177500,10900,220,1213,1625,Ruang,Relational,Suasana Perpustakaan,14
209,ublibrary,https://www.tiktok.com/@ublibrary/photo/7365850990588792070?is_from_webapp=1&sender_device=pc,Foto,6-Jun-2024,0:00:00,114900,8007,152,474,565,Ruang,Relational,Suasana Perpustakaan,4
226,ublibrary,https://www.tiktok.com/@ublibrary/video/7409940216372333829?is_from_webapp=1&sender_device=pc,Video,2-Sep-2024,0:00:24,5193,279,7,10,7,Ruang,Relational,Suasana Perpustakaan,
234,ublibrary,https://www.tiktok.com/@ublibrary/video/7395429022164897030?is_from_webapp=1&sender_device=pc,Video,25-Jul-2024,0:00:16,4746,231,5,8,16,Ruang,Relational,Suasana Perpustakaan,
254,ublibrary,https://www.tiktok.com/@ublibrary/video/7365894486091779333?is_from_webapp=1&sender_device=pc,Video,6-May-2024,0:00:11,4346,100,2,2,5,Ruang,Relational,Suasana Perpustakaan,
281,ublibrary,https://www.tiktok.com/@ublibrary/video/7296705164365729029?is_from_webapp=1&sender_device=pc,Video,2-Nov-2023,0:00:12,7678,204,18,9,22,Ruang,Entertaining,Suasana Perpustakaan,
284,ublibrary,https://www.tiktok.com/@ublibrary/video/7295696365642927365?is_from_webapp=1&sender_device=pc,Video,30-Oct-2023,0:00:16,685,31,0,3,0,Ruang,Entertaining,Suasana Perpustakaan,
287,ublibrary,https://www.tiktok.com/@ublibrary/video/7294178945140870405?is_from_webapp=1&sender_device=pc,Video,26-Oct-2023,0:00:18,2902,94,0,3,2,Ruang,Entertaining,Suasana Perpustakaan,
289,ublibrary,https://www.tiktok.com/@ublibrary/video/7293433987798764806?is_from_webapp=1&sender_device=pc,Video,24-Oct-2023,0:00:10,9716,173,8,6,1,Ruang,Entertaining,Suasana Perpustakaan,
293,ublibrary,https://www.tiktok.com/@ublibrary/video/7291522027574299909?is_from_webapp=1&sender_device=pc,Video,19-Oct-2023,0:00:14,11800,464,16,16,34,Ruang,Entertaining,Suasana Perpustakaan,
295,ublibrary,https://www.tiktok.com/@ublibrary/video/7290809131169041670?is_from_webapp=1&sender_device=pc,Video,17-Oct-2023,0:00:08,2527,55,0,2,4,Ruang,Entertaining,Suasana Perpustakaan,
305,ublibrary,https://www.tiktok.com/@ublibrary/video/7283355422260514054?is_from_webapp=1&sender_device=pc,Video,27-Sep-2023,0:00:16,896,30,2,0,0,Ruang,Relational,Suasana Perpustakaan,
310,ublibrary,https://www.tiktok.com/@ublibrary/video/7281193855804837126?is_from_webapp=1&sender_device=pc,Video,21-Sep-2023,0:00:09,4353,100,1,2,6,Ruang,Entertaining,Suasana Perpustakaan,
311,ublibrary,https://www.tiktok.com/@ublibrary/video/7280832822812724486?is_from_webapp=1&sender_device=pc,Video,20-Sep-2023,0:00:14,1269,37,0,1,0,Ruang,Entertaining,Suasana Perpustakaan,
318,ublibrary,https://www.tiktok.com/@ublibrary/video/7279432506313624837?is_from_webapp=1&sender_device=pc,Video,16-Sep-2023,0:00:09,977,23,3,0,0,Ruang,Entertaining,Suasana Perpustakaan,
319,ublibrary,https://www.tiktok.com/@ublibrary/video/7279380952227302662?is_from_webapp=1&sender_device=pc,Video,16-Sep-2023,0:00:11,2854,34,0,0,3,Ruang,Entertaining,Suasana Perpustakaan,
322,ublibrary,https://www.tiktok.com/@ublibrary/video/7278613141246889221?is_from_webapp=1&sender_device=pc,Video,14-Sep-2023,0:00:16,15200,603,1,19,31,Ruang,Entertaining,Suasana Perpustakaan,
343,ublibrary,https://www.tiktok.com/@ublibrary/video/7090397846821784859?is_from_webapp=1&sender_device=pc,Video,25-Apr-2022,0:00:14,199,4,0,0,0,Ruang,Entertaining,Suasana Perpustakaan,
345,ublibrary,https://www.tiktok.com/@ublibrary/video/7018105794826620162?is_from_webapp=1&sender_device=pc,Video,12-Oct-2021,0:00:17,330,15,0,0,4,Ruang,Entertaining,Suasana Perpustakaan,
347,ublibrary,https://www.tiktok.com/@ublibrary/video/7016622278041406722?is_from_webapp=1&sender_device=pc,Video,8-Oct-2021,0:00:14,539,6,0,0,3,Ruang,Relational,Suasana Perpustakaan,
377,unslibrary,https://www.tiktok.com/@unslibrary/video/7354328101326769413?is_from_webapp=1&sender_device=pc,Video,5-Apr-2024,0:00:25,4167,176,1,10,10,Ruang,Informational,Suasana Perpustakaan,
